subject_id,nodepos_spatialpos_norel,rt_spatialpos_norel,relations_spatialpos_rel,rt_spatialpos_rel,consc_confratings_spatialpos,clar_confratings_spatialpos,diff_confratings_spatialpos,conf_confratings_spatialpos,freeeval_spatialpos,attempts_spatialpos_rel
Qjprh0fplk6izv5grn327rvqdQ,"[[231, 149], [622, 160], [194, 432], [414, 258], [697, 462], [382, 580], [695, 832], [527, 490]]",21.383,"[[0, 7], [7, 1], [1, 4], [4, 2], [5, 3], [6, 5], [6, 7], [6, 2]]",123.682,Fairly conscious/deliberative,Fully clear,Quite easy,Rather confident,I recalled the vocalizations from yesterday when I memorized the connections by saying them out loud,1
Qz0ok7biq3oowh76c5bee68rbQ,"[[702, 363], [171, 567], [266, 606], [518, 46], [466, 402], [382, 200], [197, 470], [550, 533]]",29.099,"[[4, 7], [7, 6], [4, 6], [2, 1], [0, 1], [5, 3], [1, 3], [1, 5], [0, 4], [0, 7], [4, 5], [4, 3], [2, 4], [2, 0], [2, 6], [2, 7]]",113.811,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,visual memory with previous part in this study,1
Q2xhb444nihaa9r0moudvrc38Q,"[[496, 630], [278, 792], [167, 462], [384, 284], [509, 362], [399, 101], [503, 136], [643, 475]]",25.128,"[[7, 0], [7, 1], [7, 5], [4, 0], [4, 1], [4, 2], [2, 6], [2, 7], [5, 6], [6, 7], [5, 3], [3, 1]]",113.834,Fairly conscious/deliberative,Somewhat clear,Hard,Rather unconfident,I was asked to connect each flower to known previous connections as did yesterday.,1
Q1gq5kxl69j044m8bx2fry24aQ,"[[696, 248], [651, 434], [476, 139], [330, 233], [764, 493], [644, 119], [476, 245], [456, 352]]",35.54,"[[1, 4], [6, 7], [6, 5], [0, 7], [3, 7], [2, 6], [7, 1]]",49.226,Fully conscious/deliberative,Fully clear,Easy,Confident,Remembering flowers that the bee went to.,2
Qkazkzg0kqtgpufn4k4ccnex3Q,"[[580, 291], [535, 386], [694, 351], [625, 480], [386, 455], [793, 375], [763, 275], [217, 656]]",29.507,"[[6, 2], [6, 5], [6, 7], [7, 0], [7, 1], [5, 3], [4, 1]]",44.29,Fully conscious/deliberative,Fully clear,Quite hard,Rather confident,"I remembered the paths, not fully the positions of all meadows.",1
Qlvic8plyfah94ak285cbmt8uQ,"[[331, 367], [279, 121], [504, 401], [731, 214], [171, 526], [751, 630], [616, 692], [340, 822]]",69.96,"[[5, 6], [2, 6], [0, 7], [3, 5], [1, 4], [1, 7], [7, 6]]",129.246,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,Connecting the known flowers from yesterday's task.,1
Qw6cch8j8hgu253s3709gmg0aQ,"[[79, 310], [543, 343], [224, 607], [93, 509], [493, 526], [423, 241], [381, 635], [221, 222]]",47.069,"[[7, 0], [0, 3], [3, 2], [2, 6], [6, 4], [4, 1], [1, 5], [5, 7]]",34.342,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather confident,I followed the instruction to make sure no flower is unmatched. The bee will have it easy to connect to all flowers with a stopover without having to miss any of it.,1
Qgf8fzzv6gm2r22lcowi5tkunQ,"[[364, 222], [578, 222], [250, 286], [296, 593], [231, 442], [679, 586], [727, 377], [536, 648]]",50.908,"[[1, 6], [6, 5], [5, 7], [7, 3], [3, 4], [4, 2], [2, 0], [0, 1]]",39.694,Fully conscious/deliberative,Fully clear,Quite easy,Confident,"There is no known strategy to me, i only had to put into consideration the instructions of the task. Made sure all flowers will be connected by bee with each stop over.",1
Qkj4o1bnzet5qookggquvu9w8Q,"[[778, 86], [590, 491], [136, 327], [532, 184], [330, 399], [190, 449], [232, 263], [302, 545]]",33.72,"[[0, 1], [2, 0], [7, 6], [4, 5], [7, 1], [7, 5], [5, 2], [2, 6], [6, 4], [4, 1], [7, 4], [3, 1]]",170.071,Fully conscious/deliberative,Somewhat unclear,Quite hard,Confident, I made sure that flowers are not far from each other,2
Qu1jvn7v68tjlk35omezu2fg3Q,"[[817, 289], [738, 587], [604, 314], [389, 173], [439, 534], [634, 459], [89, 257], [721, 86]]",30.087,"[[3, 5], [0, 7], [1, 2], [4, 6], [1, 7], [3, 6], [5, 0]]",75.991,Fairly intuitive/unconscious,Somewhat clear,Hard,Unconfident,i visualized the bee flying,2
Qao576mbcllxrpbpnqm3htos8Q,"[[36, 233], [176, 174], [49, 173], [163, 104], [101, 238], [36, 99], [110, 169], [105, 103]]",73.887,"[[5, 0], [5, 4], [5, 7], [5, 6], [5, 3], [5, 1], [6, 1], [3, 6], [6, 0], [2, 4], [1, 4], [6, 4], [7, 2], [7, 6], [7, 3], [7, 1], [7, 4], [7, 0], [3, 5], [3, 7], [3, 2], [3, 1], [3, 4], [3, 0], [2, 0], [2, 7], [2, 3], [2, 6], [2, 1], [6, 5], [6, 7], [6, 3], [6, 2], [1, 5], [1, 7], [1, 3], [1, 6], [1, 2], [1, 0], [0, 7], [0, 3], [0, 6], [0, 1], [0, 4], [4, 5], [4, 7], [4, 3], [4, 2], [4, 6], [4, 1], [4, 0]]",166.222,Fully conscious/deliberative,Somewhat clear,Easy,Confident,"I simply put them together, I thought I will need space for something else later",1
Q4825xcmdogwqhuuu5oxsrhe0Q,"[[197, 525], [290, 660], [230, 336], [576, 638], [454, 675], [416, 306], [626, 359], [667, 518]]",54.838,"[[2, 0], [0, 1], [1, 4], [4, 3], [3, 7], [7, 6], [6, 5], [5, 2]]",53.755,Fully conscious/deliberative,Fully clear,Easy,Confident,"I made sure i matched the flowers with less stop overs, then made sure the bee connected to all flowers without any hindrance.",1
Qf16u57o5bx0fj7ob3iadnhhlQ,"[[168, 580], [487, 135], [667, 416], [401, 154], [670, 507], [100, 630], [352, 738], [416, 732]]",37.019,"[[7, 5], [7, 6], [7, 0], [0, 3], [0, 1], [1, 4], [1, 2], [7, 4]]",62.215,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather confident,The instructions was not clear enough but i tried so well to make the connection in a way the bees will be able to connect to all flowers.,1
Qqbd4h2ipvi4e1dhj1o4fzj7nQ,"[[431, 125], [191, 330], [307, 123], [410, 22], [202, 133], [201, 241], [305, 27], [199, 31]]",46.367,"[[6, 2], [6, 3], [6, 7], [6, 4], [4, 5], [0, 1], [3, 0], [0, 2], [5, 1], [4, 7], [2, 5]]",83.829,Fairly conscious/deliberative,Somewhat unclear,Hard,Unconfident,I tried to remember the most common known matches and connected them that way however I was stuck with the other unknown matches .,1
Qpfbao8vldl8b519yxjta067zQ,"[[483, 288], [603, 238], [733, 231], [544, 444], [560, 121], [666, 430], [716, 519], [637, 611]]",24.653,"[[6, 7], [6, 5], [3, 5], [1, 0], [1, 2], [5, 2], [1, 4]]",26.831,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather confident,"I tried to position some of the paths closer together that I knew were common from the first phase of the study. 
What was confusing about this was that all flowers only had 1:1 connections in the first phase, whereas in this one they all are supposed to be interconnected. ",1
Qngbd5j9fz1wwlzoufgnlh221Q,"[[670, 123], [440, 660], [122, 511], [634, 460], [426, 368], [320, 99], [153, 127], [825, 300]]",69.922,"[[6, 5], [1, 2], [6, 2], [0, 7], [3, 5], [4, 1], [7, 1], [4, 2]]",306.846,Fairly conscious/deliberative,Fully clear,Quite easy,Rather confident,Using the previous pairs that the bee used to connect to.,1
