subject_id,nodepos_spatialpos_norel,rt_spatialpos_norel,relations_spatialpos_rel,rt_spatialpos_rel,consc_confratings_spatialpos,clar_confratings_spatialpos,diff_confratings_spatialpos,conf_confratings_spatialpos,freeeval_spatialpos,attempts_spatialpos_rel
Qv46cyxd55287ybz4g24oopg7Q,"[[471, 659], [313, 855], [234, 107], [335, 265], [450, 362], [399, 131], [510, 72], [576, 177]]",59.323,"[[0, 0, 1, 0, 0, 1, 0, 1], [0, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 1, 0, 0, 0], [0, 1, 0, 1, 0, 1, 0, 0], [1, 0, 1, 0, 1, 0, 1, 1], [0, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 0, 1, 1, 0]]",130.735,Fully conscious/deliberative,Fully clear,Easy,Rather confident,I imagined the task what I have done yesterday and where the positions and the colors was.,1
Qorg7peapbumj9d003tv079ccQ,"[[457, 107], [324, 208], [706, 286], [583, 223], [405, 502], [450, 668], [263, 448], [594, 568]]",21.872,"[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",23.684,Fully conscious/deliberative,Fully clear,Easy,Confident,I didnt use any strategy,1
Qm58vxgfmrbhv2jvr1vvmpe7wQ,"[[145, 172], [351, 112], [657, 225], [442, 337], [670, 421], [720, 749], [404, 572], [93, 463]]",20.36,"[[0, 1, 1, 0, 1, 1, 1, 1], [1, 0, 1, 1, 1, 1, 1, 1], [1, 1, 0, 0, 0, 1, 1, 1], [0, 1, 0, 0, 0, 1, 1, 0], [1, 1, 0, 0, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 1, 0, 0, 0], [1, 1, 1, 0, 1, 1, 0, 0]]",225.097,Fairly conscious/deliberative,Somewhat unclear,Quite easy,Rather unconfident,,1
Q97y3qyb4guhyiaaxgq3txi89Q,"[[280, 281], [500, 232], [815, 535], [686, 254], [270, 773], [575, 518], [392, 758], [326, 667]]",21.989,"[[0, 1, 1, 1, 1, 0, 1, 1], [1, 0, 1, 1, 0, 0, 1, 1], [1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 0, 1, 0], [1, 0, 1, 1, 0, 1, 1, 1], [0, 0, 1, 0, 1, 0, 1, 0], [1, 1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0]]",96.407,Fairly intuitive/unconscious,Fully clear,Hard,Rather unconfident,The strategy was quite floored I'm afraid. Recalling these connections proved difficult for me and I may have done better had this task taken place immediately after the first task. ,1
Qnik0m508xy27zjtab6ipo296Q,"[[685, 199], [506, 132], [247, 260], [691, 356], [452, 379], [643, 441], [374, 528], [687, 773]]",20.522,"[[0, 0, 0, 1, 1, 0, 0, 1], [0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]",62.902,Fully conscious/deliberative,Fully clear,Easy,Confident,I linked the pairs that I remember from the main study,1
Qnmxphnc8wp0gw69gbzrkqw54Q,"[[123, 389], [204, 253], [425, 404], [561, 307], [318, 293], [460, 235], [367, 147], [127, 172]]",79.068,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",42.706,Fairly intuitive/unconscious,Fully unclear,Hard,Rather unconfident,I placed the flowers in advance of their known connections,1
Qbyqhyaokmq7h7b7c4h5j0xu8Q,"[[139, 105], [374, 86], [701, 587], [579, 479], [348, 427], [553, 629], [587, 774], [130, 656]]",128.134,"[[0, 0, 1, 1, 1, 1, 1, 1], [0, 0, 1, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0]]",419.714,Fully conscious/deliberative,Fully clear,Easy,Confident,"I started with the ones I saw frequently yesterday as there were known and unknown routes,there were ones that were very noticeable so I took advantage of that, some routes were not frequent and some did not even happen, for example, light yellow to that strong yellow.",1
Qz1iwndokhhl5gqb18vsjr283Q,"[[563, 328], [559, 422], [406, 270], [336, 315], [495, 268], [486, 478], [400, 464], [334, 398]]",55.092,"[[0, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]",113.86,Fully conscious/deliberative,Fully clear,Easy,Confident,"I wrote down the connections from the pervious task so it was easier to recall them.

Instructions were very clear.",1
Qlqt4873b1ffs6w6rj4wkg3t5Q,"[[256, 408], [320, 141], [528, 461], [458, 627], [474, 750], [296, 603], [387, 497], [635, 516]]",143.738,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",77.922,Fairly conscious/deliberative,Somewhat unclear,Hard,Unconfident,"yellow and light yellow where far from which other. red and yellow were far from each other. dark blue and light blue were far from each other, reed and white were far from each other. and the rest of the color where near each other",1
Qcreqeqdsq8jtpt9la6v8vnqaQ,"[[268, 331], [342, 286], [425, 298], [303, 183], [350, 364], [379, 211], [260, 248], [448, 370]]",45.966,"[[0, 1, 1, 1, 1, 0, 1, 1], [1, 0, 1, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 1, 1, 1], [0, 1, 1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0]]",193.913,Fairly conscious/deliberative,Somewhat clear,Quite easy,Rather confident,I was clicking on the grey lines and rearranging the flowers. I was a bit unsure if I was doing the right thing.,1
Qmiiq7tqyilhra4rhjgpb81piQ,"[[563, 391], [209, 469], [613, 526], [453, 523], [422, 711], [113, 679], [346, 370], [721, 722]]",34.336,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",53.181,Fully conscious/deliberative,Somewhat unclear,Quite hard,Rather unconfident,A bit confused by all the path flights there.,1
Q7ifzwmoxgozplqq8sv5n99u9Q,"[[642, 493], [810, 675], [239, 592], [76, 568], [424, 358], [84, 301], [115, 204], [207, 222]]",162.733,"[[0, 0, 0, 0, 1, 1, 1, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 0, 0, 1], [1, 0, 0, 1, 0, 0, 1, 0], [1, 0, 1, 0, 0, 1, 0, 1], [1, 1, 1, 0, 1, 0, 1, 0]]",149.276,Fully conscious/deliberative,Fully clear,Quite easy,Rather confident,I tried my best to remember the known paths that the bee took in the first study,1
Qbytety2dn729v4xanc1scjolQ,"[[154, 141], [679, 140], [440, 338], [432, 120], [433, 564], [284, 259], [766, 560], [601, 264]]",37.459,"[[0, 0, 0, 1, 1, 0, 1, 0], [0, 0, 1, 1, 1, 0, 1, 0], [0, 1, 0, 1, 0, 0, 1, 1], [1, 1, 1, 0, 1, 1, 1, 1], [1, 1, 0, 1, 0, 1, 0, 1], [0, 0, 0, 1, 1, 0, 1, 1], [1, 1, 1, 1, 0, 1, 0, 1], [0, 0, 1, 1, 1, 1, 1, 0]]",46.136,Fully conscious/deliberative,Fully clear,Quite hard,Rather confident,i tried to get all the flowers to connect to each other.,1
Qawphyh0r69o2kpr39o49f7xnQ,"[[410, 242], [162, 175], [827, 363], [638, 462], [337, 486], [785, 652], [601, 715], [779, 776]]",54.099,"[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, 0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 1, 0, 0, 0], [0, 0, 1, 1, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 1, 0], [0, 1, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0]]",12.723,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather unconfident,Tried to go for it from my memory,1
Qcsx2yjicuqeku68odbzvbzs4Q,"[[273, 780], [480, 78], [355, 354], [522, 453], [626, 339], [696, 662], [747, 744], [650, 762]]",19.455,"[[0, 1, 0, 1, 0, 0, 1, 0], [1, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0, 1, 0], [1, 0, 1, 0, 1, 1, 0, 1], [0, 0, 1, 0, 0, 0, 1, 0]]",67.494,Fully conscious/deliberative,Fully clear,Quite hard,Rather unconfident,"I remember the long distance and short distance connections the most, I know there are probably more connections I haven't selected but I cannot remember them at all. I tried to select connections based off paths I remember the bee taking by distance.",1
Qjivy7srvt2vdewcc2g55u0ygQ,"[[551, 106], [319, 20], [782, 599], [765, 416], [613, 429], [256, 676], [383, 688], [314, 709]]",45.499,"[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",37.627,Fully conscious/deliberative,Somewhat unclear,Quite easy,Rather confident,"Lol this one was a bit tricky, and I didn't even know what I was doing.",1
Qei45sv1c0az91ceoi087flqnQ,"[[331, 268], [396, 161], [428, 253], [646, 713], [416, 550], [147, 424], [666, 486], [686, 556]]",23.441,"[[0, 1, 1, 1, 1, 1, 1, 1], [1, 0, 1, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 1], [1, 1, 1, 1, 0, 1, 1, 1], [1, 1, 1, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0]]",76.108,Fully conscious/deliberative,Somewhat clear,Quite hard,Rather confident,I paid attention to overlapping paths,1
Q894kmcghdp4j3uq6wv8pb4o4Q,"[[282, 121], [375, 643], [454, 202], [178, 541], [121, 373], [672, 544], [580, 575], [550, 727]]",11.76,"[[0, 0, 0, 0, 0, 0, 1, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 1], [0, 0, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 0, 0]]",9.268,Fully conscious/deliberative,Fully clear,Quite hard,Rather unconfident,I was remembering the bees's path,1
